,Addition,Concatenation
4,0.06606942889137737,0.09496567505720824
8,0.09778812572759023,0.036384976525821594
16,0.04561003420752566,0.022935779816513763
32,0.03,0.029782359679266894
4-8,0.03555045871559633,0.0747244094488189
4-16,0.003401360544217687,0.03218390804597701
4-32,0.012181616832779624,0.06235827664399093
8-16,0.020361990950226245,0.0
8-32,0.0011210762331838565,0.04157043879907621
16-32,0.05542986425339366,0.06365740740740741
4-8-16,0.05465116279069768,0.021764032073310423
4-8-32,0.03318077803203661,0.00813953488372093
4-16-32,0.06681766704416761,0.019867549668874173
8-16-32,0.0547945205479452,0.014806378132118452
4-8-16-32,0.04914285714285714,0.048723897911832945
